客户编号,A1,A3,A4,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A20
0,,X220922,320000,99.0,XW0,X1,,,1,T1,5,ZC9,-0.1732604666760052,2197 days,,A2
1,,X121121,410000,30.0,XW0,,,B,2019,T0,N,ZC9,-0.1732604666760052,3291 days,,A2
2,,X100603,510000,30.0,XW0,X1,,B,2015,T0,6,ZC4,5.716707535544825,2355 days,,A2
3,,X300106,230000,99.0,XW0,,,,1,T2,6,ZC9,-0.1732604666760052,2746 days,,A2
4,,X380982,130000,99.0,XW0,X1,,,1,T2,3,ZC9,-0.1732604666760052,2119 days,,A2
5,,X121324,510000,99.0,XW0,X1,,,1,T2,5,ZC9,-0.1732604666760052,2762 days,,A2
6,,X522226,450000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2653 days,,A2
7,,X121521,510000,60.0,XW0,X1,,,1,T1,1,ZC9,5.8217292532664455,2212 days,,A2
8,,X421421,440000,30.0,XW0,,,B,2020,T0,N,,-0.1732604666760052,3199 days,,A2
9,,X221122,420000,99.0,XW9,X1,,,1,T2,3,ZC9,-0.1732604666760052,2011 days,,A2
10,,X123822,510000,99.0,XW0,X1,,,1,T1,4,ZC1,-0.1732604666760052,1925 days,,A2
11,,X210111,520000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3223 days,,A2
12,A9,X222122,520000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3572 days,,A2
13,,X432430,140000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2999 days,,A2
14,,X502402,450000,99.0,XW0,,,,1,T2,6,ZC9,-0.1732604666760052,2720 days,,A2
15,,X323325,530000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3160 days,,A2
16,,X120426,610000,99.0,XW9,,,,1,T0,4,,-0.1732604666760052,2929 days,,A2
17,,X320425,130000,99.0,XW0,X1,,,1,T2,4,ZC9,-0.1732604666760052,1969 days,,A2
18,,X300204,430000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,2689 days,,A2
19,,X721326,370000,99.0,XW0,,,,1,T2,6,,-0.1732604666760052,2665 days,,A2
20,,X520622,350000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3085 days,,A2
21,,X320125,230000,30.0,XW0,X1,,,2014,T0,1,ZC0,-0.1732604666760052,2140 days,,A2
22,,X110311,510000,99.0,XW0,X1,,,1,T2,3,ZC4,-0.1732604666760052,2343 days,,A2
23,A9,X500702,450000,30.0,XW0,,,B,1,T0,N,ZC9,-0.1732604666760052,3620 days,,A2
24,,X580583,350000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,3074 days,,A2
25,,X321125,130000,99.0,XW0,X1,,,1,T2,1,ZC9,-0.1732604666760052,2513 days,,A2
26,,X621024,360000,99.0,XW9,,,,1,T0,1,ZC3,-0.1732604666760052,2958 days,,A2
27,,X380684,130000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2973 days,,A2
28,,X320421,130000,30.0,XW0,X1,,,2009,T0,0,ZC9,-0.1732604666760052,2039 days,,A2
29,,X102401,610000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3348 days,,A2
30,,X322129,130000,70.0,XW0,,,,1,T2,3,ZC1,-0.1732604666760052,2923 days,,A2
31,A9,X220123,620000,30.0,XW0,,,B,1,T0,N,ZC9,-0.1732604666760052,3603 days,,A2
32,,X080384,500000,40.0,XW0,X1,,,1,T1,1,ZC3,5.83504722471665,2034 days,,A2
33,,X432730,140000,99.0,XW9,X1,,,1,T1,5,ZC9,-0.1732604666760052,2497 days,,A2
34,,X420923,440000,99.0,XW9,,,,1,T0,4,ZC9,-0.1732604666760052,2978 days,,A2
35,,X121322,510000,99.0,XW9,X1,,,1,T0,6,ZC0,-0.1732604666760052,2965 days,,A2
36,,X232732,520000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2922 days,,A2
37,,X222921,620000,99.0,XW9,,,,1,T0,3,ZC9,-0.1732604666760052,2974 days,,A2
38,,X380481,130000,99.0,XW9,X1,,,1,T0,1,ZC9,-0.1732604666760052,1965 days,,A2
39,,X123126,510000,99.0,XW9,X1,,,1,T2,3,ZC9,-0.1732604666760052,2742 days,,A2
40,,X321122,430000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2929 days,,A2
41,,X210116,420000,30.0,XW9,X1,,,1,T2,N,ZC9,-0.1732604666760052,1978 days,,A2
42,,X402201,140000,99.0,XW9,,,,1,T0,1,,-0.1732604666760052,2901 days,,A2
43,A9,X323122,430000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3573 days,,A2
44,,X380181,130000,99.0,XW0,X1,,,1,T2,5,ZC9,-0.1732604666760052,1999 days,,A2
45,,X020229,500000,30.0,XW0,,,B,2020,T0,N,ZC9,-0.1732604666760052,3128 days,,A2
46,,X300702,430000,30.0,XW0,,,B,2014,T0,3,ZC9,-0.1732604666760052,2976 days,,A2
47,,X030231,500000,70.0,XW0,X1,,,1,T0,3,ZC9,-0.1732604666760052,2128 days,,A2
48,A9,X320627,530000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3385 days,,A2
49,,X320428,130000,99.0,XW9,X1,,,1,T0,N,ZC9,-0.1732604666760052,2140 days,,A2
50,,X320322,530000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2975 days,,A2
51,,X520221,450000,99.0,XW9,X1,,,1,T0,3,,-0.1732604666760052,2554 days,,A2
52,,X401900,440000,99.0,XW0,X1,,,1,T2,3,ZC4,-0.1732604666760052,1963 days,,A2
53,,X522321,150000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2992 days,,A2
54,,X320729,130000,99.0,XW0,X1,,,1,T1,5,ZC3,-0.1732604666760052,2010 days,,A2
55,,X480183,440000,99.0,XW9,X1,,,1,T0,6,,-0.1732604666760052,2042 days,,A2
56,A9,X322621,530000,20.0,XW4,,,B,1,T0,N,ZC9,-0.1732604666760052,3562 days,,A2
57,,X100902,510000,99.0,XW9,X1,,,1,T0,1,ZC0,-0.1732604666760052,2029 days,,A2
58,,X030237,500000,99.0,XW0,X1,,,1,T1,6,ZC9,-0.1732604666760052,2087 days,,A2
59,,X101303,210000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3174 days,,A2
60,,X122829,410000,30.0,XW0,,,B,2019,T0,N,,-0.1732604666760052,2937 days,,A2
